,Judge,Cluster_0_Count,Cluster_1_Count,Cluster_2_Count,Cluster_3_Count,Cluster_4_Count,Cluster_5_Count,Cluster_0_Prop,Cluster_1_Prop,Cluster_2_Prop,Cluster_3_Prop,Cluster_4_Prop,Cluster_5_Prop,Cluster_0_Prop_media,Cluster_1_Prop_media,Cluster_2_Prop_media,Cluster_3_Prop_media,Cluster_4_Prop_media,Cluster_5_Prop_media,Total_Count,Overall_Prop
0,Cecil Peoples,8,8,8,8,4,2,0.5,0.875,0.75,0.625,0.75,1.0,0.75,0.5,0.625,0.25,0.5,0.5,38,0.7105263157894737
1,Nelson Hamilton,5,6,6,3,5,0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,-1.0,1.0,0.6666666666666666,1.0,1.0,1.0,-1.0,25,0.84
2,Jon Schorle,1,1,0,1,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,4,0.5
3,Abe Belardo,1,1,1,0,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,5,1.0
4,Chris Lee,13,28,18,16,6,11,0.46153846153846156,0.6785714285714286,0.7777777777777778,0.5625,0.5,0.5454545454545454,0.38461538461538464,0.6785714285714286,0.6666666666666666,0.5,0.5,0.45454545454545453,92,0.6195652173913043
5,Raul Porrata,0,0,1,0,0,0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1,0.0
6,Lester Griffin,3,6,4,4,3,3,0.3333333333333333,0.8333333333333334,0.75,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.25,0.25,0.6666666666666666,0.3333333333333333,23,0.6521739130434783
7,Douglas Crosby,2,10,14,8,3,0,0.0,0.7,0.7857142857142857,0.75,0.6666666666666666,-1.0,0.0,0.8,0.5714285714285714,0.375,0.6666666666666666,-1.0,37,0.7027027027027027
8,Adalaide Byrd,1,11,8,6,1,2,0.0,0.36363636363636365,0.5,1.0,0.0,0.5,1.0,0.36363636363636365,0.5,0.5,0.0,0.5,29,0.5172413793103449
9,Jeff Mullen,8,11,6,1,1,1,0.875,0.7272727272727273,0.6666666666666666,1.0,1.0,1.0,0.75,0.36363636363636365,0.6666666666666666,0.0,0.0,1.0,28,0.7857142857142857
10,Richard Bertrand,4,8,4,4,1,5,1.0,0.625,0.5,0.75,1.0,1.0,1.0,0.75,0.25,0.5,1.0,0.8,26,0.7692307692307693
11,Romulo Bittencourt,0,1,1,0,0,0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,2,0.5
12,Todd Agosta,0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,1.0
13,Barry Foley,0,3,2,9,3,0,-1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-1.0,-1.0,0.0,1.0,0.7777777777777778,0.6666666666666666,-1.0,17,0.47058823529411764
